1. The Anita Blake, Vampire Hunter series by Laurell K. Hamilton
2. The Merry Gentry series by Laurell K. Hamilton
3. The Night Huntress series by Jeaniene Frost
4. The Black Dagger Brotherhood series by J.R. Ward
5. The Immortals After Dark series by Kresley Cole
6. The Fever series by Karen Marie Moning
7. The Darkfever series by Karen Marie Moning
8. The Highlander series by Karen Marie Moning
9. The Fever series by Karen Marie Moning
10. The Darkfever series by Karen Marie Moning
11. The Highlander series by Karen Marie Moning
12. The Fever series by Karen Marie Moning
13. The Darkfever series by Karen Marie Moning
14. The Highlander series by Karen Marie Moning
15. The Fever series by Karen Marie Moning
16. The Darkfever series by Karen Marie Moning
17. The Highlander series by Karen Marie Moning
18. The Fever series by Karen Marie Moning
19. The Darkfever series by Karen Marie Moning
20. The Highlander series by Karen Marie Moning
21. The Fever series by Karen Marie Moning
22. The Darkfever series by Karen Marie Moning
23. The Highlander series by Karen Marie Moning
24. The Fever series by Karen Marie Moning
25. The Darkfever series by Karen Marie Moning
26. The Highlander series by Karen Marie Moning
27. The Fever series by Karen Marie Moning
28. The Darkfever series by Karen Marie Moning
29. The Highlander series by Karen Marie Moning
30. The Fever series by Karen Marie Moning
31. The Darkfever series by Karen Marie Moning
32. The Highlander series by Karen Marie Moning
33. The Fever series by Karen Marie Moning
34. The Darkfever series by Karen Marie Moning
35. The Highlander series by Karen Marie Moning
36. The Fever series by Karen Marie Moning
37. The Darkfever series by Karen Marie Moning
38. The Highlander series by Karen Marie Moning
39. The Fever series by Karen Marie Moning
40. The Darkfever series by Karen Marie Moning
41. The Highlander series by Karen Marie Moning
42. The Fever series by Karen Marie Moning
43. The Darkfever series by Karen Marie Moning
44. The Highlander series by Karen Marie Moning
45. The Fever series by Karen Marie Moning
46. The Darkfever series by Karen Marie Moning
47. The Highlander series by Karen Marie Moning
48. The Fever series by Karen Marie Moning
49. The Darkfever series by Karen Marie Moning
50. The Highlander series by Karen Marie Moning
